//简体繁体差异词语， 不要在第一行增加内容，留给注释用，3846行开始的是从另一个网站下载的，可能有点问题。
//内容格式为：简体+Tab+繁体
双页	兩頁
草稿箱	草稿匣
已转发	已轉信
发件人	發信人
历史	歷史
超链接	超連結
收件箱	收信匣
收件箱	收信匣
内送的邮件	內送的信件
垃圾邮件	垃圾信件
标签	標籤
邮件位址	信件位址
邮件文件夹	信件資料夾
邮件服务器	信件伺服器
邮件系统	信件系統
邮件	信件
邮件箱	信件匣
人工过滤	手動過濾
邮件	信件
with	message
昵称	暱稱
发件箱	發信匣
发件箱	發信匣
外送的邮件	外送的信件
插件	外掛程式
优先级	優先等級
队列	佇列
已队列	已佇列
引言层级	level
收件人	收信人
收件	收信
已修复	已修復
重定向	重新導向
已重定向	已重新導向
回覆地址	回覆位址
回覆全部	all
回覆模板使用	回覆範本使用
回覆地址	回覆位址
送到浏览器	送到瀏覽器
发件	發信
发件人	發信人
	服務器認證書鏈
服务器状态	伺服器狀態
样式文本	樣式文字
已定时队列	已定時佇列
收件人	收信人
回收站	回收筒
查看源代码	檢視來源碼
添加裁切行	加入裁切行
窗口最上层	視窗最上層
压缩文件	壓縮檔案
升序	遞增
层叠窗口	重疊顯示
串联菜单	串聯功能表
时钟	時鐘
颜色方案	色彩方案
颜色 	色彩
快显菜单	快顯功能表
复制磁盘	複製磁碟
当前的路径	目前的路徑
自定义放大	自訂放大
自定义	自訂
明细查看	細節檢視
明细	細節
数字时钟	數位時鐘
DOS 命令行	DOS 指令行
清空回收站	清空資源回收筒
抹除软盘	抹除磁片
抹除磁盘	抹除磁碟
展开文件夹	展開資料夾
文件列表	檔案清單
文件跟踪器	檔案追蹤器
查找	尋找
浮动图标工具栏	浮動圖示工具列
浮动图标工具栏	浮動圖示工具列
文件夹跟踪器	資料夾追蹤器
格式化磁盘	格式化磁碟
剩余图形接口资源	剩餘圖形介面資源
剩余内存	剩餘記憶體
剩余空间	剩餘空間
剩余系统资源	剩餘系統資源
剩余用户资源	剩餘使用者資源
群组重命名	群組重新命名
16 进制倾印	16 進位傾印
标签磁盘	標籤磁碟
大图标	大圖示
列表	清單
制作开机磁盘	製作開機磁碟
制造商	製造商
映射网络驱动器	對應網路磁碟機
图元文件	中繼檔案
多重卷标压缩	多重卷輯壓縮
多重查看	多重檢視
新建超然的工具栏	新增超然的工具列
打印数量	列印數量
播放列表	播放清單
打印跨页	列印跨頁
打印管理员	列印管理員
打印缩放	列印縮放
打印到文件	列印到檔案
快速运行	快速執行
快速查看	快速檢視
只读	唯讀
只读	唯讀
精链	精鍊
计算机重新启动	電腦重新啟動
查找	搜尋
序列号	序號
小图标	小圖示
“开始”菜单	開始功能表
状态栏	狀態列
粘附应用程序	粘附應用程式
子类型 	子類型
子文件类型	子檔案類型
子文件夹	子資料夾
系统性能	系統效能
任务栏	工作列
线程	執行緒
横向平铺窗口	水平並排
纵向平铺窗口	垂直並排
超时	逾時
断开网络驱动器	中斷網路磁碟機
查看器窗格	檢視器窗格
查看器	檢視器
滚动磁盘栏	捲動磁碟列
滚动工具栏	捲動工具列
只写	唯寫
背景颜色	背景色彩
阻断操作	阻斷作業
边缘颜色	邊緣色彩
候选键 	候選鍵
颜色顺序	色彩順序
颜色转译	色彩轉譯
十字光标	十字游標
延迟光标	延遲游標
前景颜色	前景色彩
前景颜色	前景色彩
灰度分类	灰階分類
灰度选项	灰階選項
灰度样式	灰階樣式
灰度	灰階
重新采样	重新取樣
标尺	尺規
子文件类型	子檔案類型
过渡选项	轉場選項
视频编码	視訊壓縮
视频显示	視訊顯示
视频格式	視訊格式
视频来源	視訊來源
阿拉伯文 (卡塔尔)	阿拉伯文 (卡達)
阿拉伯文 (沙特阿拉伯)	阿拉伯文 (沙烏地阿拉伯)
阿拉伯文 (阿拉伯联合酋长国)	阿拉伯文 (阿拉伯聯合大公國)
阿拉伯文 (也门)	阿拉伯文 (葉門)
阿泽里文 (西里尔)	阿澤里文 (斯拉夫)
阿泽里文 (拉丁)	阿澤里文 (拉丁)
布里敦文	布里敦文
卡塔尔隆尼亚文	卡達隆尼亞文
克罗地亚文	克羅埃西亞文
克罗地亚塞尔维亚文	克羅埃西亞塞爾維亞文
西里尔文	斯拉夫文
荷兰文 (标准)	荷蘭文 (標準)
英文 (贝里斯)	英文 (貝里斯)
英文 (新西兰)	英文 (紐西蘭)
英文 (特立尼达和多巴哥)	英文 (千里達)
英文 (津巴布韦)	英文 (辛巴威)
埃塞俄比亚文	衣索比亞文
法文 (马里)	法文 (馬利)
法文 (标准)	法文 (標準)
法文 (扎伊尔)	法文 (薩伊)
夫里斯兰文 (荷兰)	夫里斯蘭文 (荷蘭)
加里斯亚文	加里斯亞文
德文 (列支敦士登)	德文 (列支敦斯登)
德文 (标准)	德文 (標準)
义大利文 (标准)	義大利文 (標準)
马来文 (文莱达鲁萨兰)	馬來文 (汶萊)
瑙鲁文	諾魯文
葡萄牙文 (标准)	葡萄牙文 (標準)
里托罗曼斯文	里托羅曼斯文
罗马尼亚文 (标准)	羅馬尼亞文 (標準)
俄文 (标准)	俄文 (標準)
塞尔维亚文 (西里尔)	塞爾維亞文 (斯拉夫)
索马里文	索馬利亞文
索马里	索馬利亞
西班牙文 (哥斯达黎加)	西班牙文 (哥斯大黎加)
西班牙文 (多米尼加)	西班牙文 (多明尼加)
西班牙文 (厄瓜多尔)	西班牙文 (厄瓜多)
西班牙文 (危地马拉)	西班牙文 (瓜地馬拉)
西班牙文 (洪都拉斯)	西班牙文 (宏都拉斯)
史瓦西里文	史瓦西里文
鞑靼文	韃靼文
乌兹别克文 (西里尔)	烏茲別克文 (斯拉夫)
ASF 文件	ASF 檔案
AVI 文件	AVI 檔案
Flash 文件	Flash 檔案
四字符编码	四字元編碼
MPEG 音频层	MPEG 音訊層
MPEG2 文件	MPEG2 檔案
电影标识标签	電影標識標籤
RIFF 文字的信息明细	RIFF 文字的資訊細節
RealMedia 文件	RealMedia 檔案
WMV 文件	WMV 檔案
附加的标头数据	額外的標頭資料
模拟视频	類比視訊
文件位置	檔案位置
音频格式	音訊格式
音频流式格式	音訊串流格式
音频串	音訊串
音频/视频数据	音訊/視訊資料
音频/视频交错文件	音訊/視訊交錯檔案
平均数据	平均資料
阻断对齐数据	阻斷對齊資料
列块大小	區塊大小
压缩算法	壓縮演算法
计算机游戏	電腦遊戲
版权数据	版權資料
创建时间	建立日期
数字化日期	數位化日期
数字视频	數位視訊
数字化时间	數位化時間
数字化	數位化
注脚	註腳
四字符码 (FourCC)	四字元碼 (FourCC)
四字符码	四字元碼
流式帧大小	串流幀大小
采样频率	取樣頻率
常规 MPEG 旗标	一般 MPEG 旗標
历史片	歷史片
家庭视频	家庭視訊
水平分辨率	水平解析度
恐怖/神秘片	恐怖/神祕片
巨象素	巨像素
每秒字节数	每秒位元組數
单声道	單音
音乐视频片	音樂視訊片
神秘片	神祕片
辅助位数	輔助位元數
每象素的位数	每像素的位元數
每样本位	每樣本位元
每行块帧数	每區塊幀數
流式数	串流數
打开填补	開啟填補
色盘设置	色盤設定
产品	產品
生产	生產
真时视频	即時視訊
分辨率	解析度
辅助列块大小	輔助區塊大小
软件	軟體
软件	軟體
源来自	來源來自
源	來源
流式位	串流位元
流式格式定义块	串流格式定義塊
流式格式	串流格式
流式标头	串流標頭
流式长度	串流長度
流式模式	串流模式
流式名称	串流名稱
流式优先级	串流優先等級
流式质量	串流品質
流式率	串流率
流式尺度	串流尺度
流式起点	串流起點
视频流	視訊串流
演播室	工作室
技术人员 (数字化者)	技術人員 (數位化者)
过渡	轉場
未知的音频码	未知的音訊碼
矢量动画	向量動畫
垂直分辨率	垂直解析度
视频帧大小	視訊幀大小
视频标头	視訊標頭
视频流格式	視訊串流格式
视频串	視訊串
相册	相簿
模拟	類比
音频压缩器 	音訊壓縮器
音频	音訊
自动链接 	自動連結
辅助文件	輔助檔案
带宽	頻寬
批量捕捉	批次擷取
最好质量	最好品質
最好 	最好
较好质量	較好品質
较好 	較好
浏览外观	瀏覽外觀
浏览字体	瀏覽字型
按钮号码 	按鈕號碼
按钮 	按鈕
摄像机	攝影機
捕捉	擷取
已捕捉视频	已擷取視訊
CD 音频属性	CD 音訊內容
CD 音频	CD 音訊
颜色渐层	色彩漸層
颜色	色彩
组合素材 	組合素材
复合视频输入	複合視訊輸入
复合视频	複合視訊
爬行 	爬行
创建章节	建立章節
创建字幕	建立字幕
数据传输率 	資料傳輸率
默认	預設
数字	數位
光盘章节	光碟章節
光盘菜单 	光碟選單
渐隐	溶解
椭圆 	橢圓
淡入 	淡入
淡出 	淡出
快速扫描	快速掃瞄
细致	細緻
完成 	完成
帧/秒 	幀/秒
剩余: 	剩餘:
完全 DV 质量	完全 DV 品質
全屏	全螢幕
完全质量捕捉	完全品質擷取
图形缓存	圖形快取
良好质量	良好品質
良好 	良好
抓取视频帧	抓取視訊幀
字幕 	字幕
时 	時
外观浏览器	外觀瀏覽器
主菜单 	主選單
制做电影	製做電影
手工链接 	手動連結
菜单激活 	選單活化
菜单号码 	選單號碼
菜单缩略图	選單縮圖
菜单	選單
动态按钮 	動態按鈕
动态菜单 	動態選單
下一个按钮 	下一個按鈕
下一个章节 	下一個章節
 下一帧	下一幀
下一个菜单 	下一個選單
常规按钮 	一般按鈕
不是按钮 	不是按鈕
不透明度 	不透明度
 暂停	暫停
 播放	播放
 倒放	倒放
 播放	播放
 播放	播放
预先设置数值	預先設定值
上一个按钮 	上一個按鈕
上一个章节 	上一個章節
 上一帧	上一幀
上一个菜单 	上一個選單
项目	專案
质量	品質
无线电台	無線電臺
录制画外音	錄製旁白
录制	錄製
正在渲染音频..	正在渲染音訊...
重复	重覆
倒放扫描	倒放掃瞄
回带	迴帶
卷动 	捲動
根菜单 	根選單
旋转与倾斜 	旋轉與傾斜
场景检测	場景偵測
场景索引菜单	場景索引選單
设置光盘跳跃	設定光碟跳躍
设置链接	設定連結
设置菜单按钮链接	設定選單按鈕連結
设置菜单链接 	設定選單連結
设置返回到菜单	設定返回到選單
设置缩略图	設定縮圖
设置	設定
共享质量	共享品質
锐利图片视频	銳利圖片視訊
显示链接 	顯示連結
声卡	音效卡
源匣	來源匣
源	來源
展开 	展開
准备	準備
流式	串流
样式预先设置	樣式預先設定
带入视频	帶入視訊
缩略图按钮 	縮圖按鈕
缩略图	縮圖
字幕 	字幕
过渡持续时间	轉場持續時間
过渡	轉場
字体	字型
视频输入 	視訊輸入
视频输入 	視訊輸入
视频输出 	視訊輸出
视频输出 	視訊輸出
视频流	視訊串流
视频	視訊
画外音	旁白
划变	抹拭
变动比特率	變動位元率
总在最前面	最上層顯示
节拍检测	節拍偵測
比特率	位元率
书签	書籤
酷特栏	酷特列
注解	註解
圆点颜色	圓點色彩
降低采样	降低取樣
队列	佇列
EQ 均衡器	EQ 等化器
跳象素	跳像素
全屏	全螢幕
内插空白特技	內插空白特效
激光	雷射
中继数据	中繼資料
常规大小	一般大小
注释	註釋
补丁	補綴
象素重覆	像素重覆
播放列表	播放清單
插件	外掛程式
首选	偏好
静音列块	靜音區塊
面板浏览器	面板瀏覽器
平滑过渡	平滑轉場
流式	串流
剩余时间	剩餘時間
过渡	轉場
变量	變數
视频	視訊
水波特技	水波特效
效能查看器	效能檢視器
调试错输出等级	除錯輸出等級
驱动程序模块	驅動程式模組
使用软件模拟灰阶演色	使用軟體模擬灰階演色
使用软件仿真 RGB 对照演色	使用軟體模擬 RGB 對照演色
硬件加速	硬體加速
使用硬件位图列块转写	使用硬體點陣圖區塊轉寫
使用硬件颜色填充	使用硬體色彩填入
使用硬件通透性	使用硬體通透性
刷新速率	重新整理速率
已注册的服务提供者	已註冊的服務提供者
关于	關於
访问	存取
激活	活化
激活	活化
添加为	加入為
添加到	加入到
添加	加入
编址	定址
应用	套用
分配	指派
绑定	繫結
浏览	瀏覽
调用	呼叫
回调	回呼
采集	擷取
捕捉	擷取
更改	變更
选定	選取
单击	按一下
克隆	仿製
配置	組態
配置	組態
连接到	連線到
联系	洽詢
复制到	複製到
复制	複製
创建	建立
自定义	自訂
剪切	剪下
调试	除錯
声明	宣告
检测	偵測
禁用	停用
断开连接	中斷連線
双击	按二下
拖放	拖曳
拖放	拖曳
重复复制	重製
嵌入	內嵌
仿真	模擬
启用	啟用
枚举	列舉
运行	執行
退出	離開
导出到	匯出到
导出	匯出
查找	尋找
修复	修復
修复	修復
产生	產生
运行	執行
超链接	超連結
标识	識別
实现	實作
导入	匯入
集成	整合
反相选定	反相選取
标签	標籤
运行	執行
链接	連結
日志	日誌
登录	登入
注销	登出
制作	製作
映射	對應
标志	標記
合并	合併
挂载	掛載
新建	新增
通知	知會
打开	開啟
强制替代	強制覆寫
覆盖	覆寫
粘贴	貼上
补丁	補綴
运行	執行
打印预览	預覽列印
打印到	列印到
打印	列印
队列	佇列
快速查看	快速檢視
退出	離開
引用	引言
识别	辨識
重新连接	重新連線
录制	錄製
录象	錄影
恢复	恢復
重拨	重新撥號
重定向	重新導向
取消撤销	取消復原
引用	參照
刷新	重新整理
注册	註冊
备注	備註
重命名	重新命名
渲染	演算上色
修复	修復
替换	取代
替换	取代
重新运行	重新執行
重新启动	重新啟動
再试	重試
回复	回復
回带	迴帶
回滚	回捲
运行	執行
采样	取樣
扫描	掃瞄
滚动	捲動
查找	搜尋
全部选定	全選
选定	選取
发送到	傳送到
设置	設定
设置	設定
关闭系统	關機
仿真	模擬
单击	按一下
跳过	略過
均匀排列	貼齊格線
拆分	分割
启动	啟動
逐步运行	逐步執行
保存	儲存
跟踪	追蹤
发送	傳送
下划线	底線
撤销	復原
松开	鬆開
查看为	檢視為
查看	檢視
添加	加入
附加的材料	額外材料
音频事件	音訊事件
音频流式	音訊串流
画布颜色	畫布色彩
保存格	儲存格
更改为	變更為
颜色立方体	色彩立方體
颜色集	色彩集
组件	元件
取消选定	取消選取
退出端点	結束端點
导出预览	匯出預覽
导出符号	匯出符號
导出向导	匯出精靈
导出	匯出
羽化选定范围	羽化選取範圍
填色颜色	填色色彩
Flash 播放文件	Flash 放映檔案
字体映射	字型對映
字体	字型
灰度色盘	灰階色盤
历史	歷史
导入	匯入
键入色阶	輸入色階
(颜色)饱和度	(色彩)飽和度
合并	合併
列间距	行距
链接向导	連結精靈
映射	對應
鼠标事件	滑鼠事件
鼠标目标	滑鼠目標
嵌套组	巢狀群組
上层菜单	上層選單
粘贴为	貼上為
弹出式菜单	彈出式選單
精确光标	精確游標
预先设置名称	預先設定名稱
项目日志	專案日誌
发布	發佈
渲染为影像	演算上色為影像
重新采样	重新取樣
分辨率	解析度
回复	回復
回带	迴帶
场景选定器	場景選取器
暂存磁盘	暫存磁碟
反相选定	反相選取
均匀排列	貼齊格線
逐程序运行	逐程序執行
笔画颜色	筆畫色彩
细部选定	細部選取
子菜单	子選單
细部选定	細部選取
整体选定	整體選取
缩略图	縮圖
允许度	容許度
补间动画实例	補間動畫實體
解除组	解除群組
常规状态	一般狀態
作用中页签	作用中頁籤
阻断的弹出式窗口	阻斷的彈出式視窗
收藏夹	我的最愛
历史	歷史
非作用中页签	非作用中頁籤
连结栏	連結列
注册码	註冊碼
注册金  	註冊金錀
侧边栏	側邊列
源代码	來源碼
状态栏	狀態列
页签	頁籤
//从下面开始是从另一个网站下载的
图形用户界面	圖形使用者介面
图形设备接口	圖形裝置介面
处理	處置
头文件	標頭檔案
帮助文件	說明檔案
预定到期时间	預設到期時間
高级	高級
个人文件夹	個人資料夾
主机	主機
主页	主頁
主机名	主機名
HTML超文本标记语言	超文件標示語言
HTTP超文本传输协议	超文件傳送協定
超链接	超鏈接
超文本	超本文
已识别数据	已識別資料
标识符	識別符
表义字符	表意文字
图片	影像
图片数据	影像資料
图片地图	影像地圖
执行	實作
执行符合性声明	實作符合性聲明
执行平台	實作平臺
隐性规范	隱性法則
隐性WEB请求	隱式網路請求
非活动页	非使用中頁面
收件箱	收件匣
包含文件	包含檔
独立软件供应商	獨立軟體供應商
独立WEB	獨立網
独立值属性	個體價值性質
通知	通知
参考文本	參考本文
输入项目	輸入項目
插入列	插入欄
插入行	插入列
实例	實例
实例数据	實例資料
实例数据节点	實例資料節點
交互	互動
交互式用户	互動使用者
界面	介面
接口定义语言	介面定義語言
国际标准组织	國際標準組織
国际化资源标识符	國際化資源識別符
网络协议	網際網路協定
网络服务提供商	網際網路服務提供者
可交互性	交互運作性
解释语言	直譯式語言
解释	直譯
解释程序环境	直譯器語境
局域网	內部網路
无效的	無效
不可见	不可視
项目	項目
Java语言规范	Java語言標準
Java虚拟机	Java虛擬機器
JPEG图片格式	JPEG圖形格式
垃圾邮件	垃圾信
键入	鍵入
键定位	金鑰定位
钥匙管理	金鑰管理
键名	金鑰名稱
抽象文件	摘要檔案
帐户	帳號
获得	獲取
取址方式	定址模式
附件	附件
音频压缩	音訊壓縮器
音频流	音訊串
视听交叉格式	AVI影音格式
平均数据率	平均資料流量
平均值	平均值
反向引用	反向引用
贝塞尔点	貝茲控制點
立方体	雙立體
二分搜索	二元搜尋
二叉数	二元樹
邦定	繫結
邦定内容	繫結內容
位字段	位元欄位
按位	逐位元
按位运算	位元運算子
混合呈图	混合映像
呈图方向	映像方向
块符号	塊狀方塊
阻止的横幅	阻斷的橫幅
阻止的弹出式窗口	阻斷的彈出式視窗
阻止操作	阻斷作業
布尔	布林
可引导光盘	可開機光碟
自展程序	啟動載入器
边框框宽度	邊框寬度
底边界	底邊界
界限列	界限欄
括号匹配	括號對稱
带括号的表达式	有括號的運算式
中断的连接	中斷的連結
桥路由器	橋接路由器
画笔	筆刷
笔头	筆刷頭
缓冲区欠载运行	緩衝區欠載運行
大量记录字段交换	大量資料錄欄位交換
多行存取	大量資料列擷取
商业逻辑层	業務邏輯層
商业物件	業務物件
商业流程	業務流程
商业规则	業務規則
按钮阴影	按鈕暗影
校准	校準
回调字段	回呼欄位
回调函数	回呼函式
卡式磁带	卡帶
转换	轉型
选择	選取
循环依赖	循環相依
循环引用	循環參考
类ID	類別識別項
裸机	初始狀態的電腦
剪裁文件	素材檔案
剪裁路径	裁剪路徑
代码转换器	解編碼器
类型强制转换	強制型轉
通用控制	通用控制項
公共数据记录	通用資料錄
比较	比較元
编译器缺陷报告	編譯器缺失報告
编译期错误	編譯時期錯誤
完整目标	完整物件
复杂邦定	複雜繫結
组成	撰寫
拼接键	串連索引鍵
拼接操作	串連運算子
并发性	並行
并发连接	同時連線
连接中	使用中連線
连接中断	連線中斷
约束比例	強制等比例
接触	洽詢
版权	版權
剪除	剪裁
交叉编辑	交互編輯
淡入淡出	交錯淡變
十字指针	十字游標
交叉制表查询	交叉資料表查詢
跨线程	跨線程
插进指令表	提示表
循环冗余校验	循環冗餘檢查
仪表盘	儀表板
数据访问对象	DAO 資料存取物件
数据断点	資料中斷點
数据邦定	資料繫結
数据报	資料包
数据报套接字	資料包通訊端
装饰名	裝飾名稱
纵深副本	深層複製
延期	延遲的
变形	變形項
等待指针	延遲游標
延时传送	傳送延後
延时载入	延遲載入
删除至行尾	刪至行尾
删除至行首	刪至行首
间接引用	解參考
导出类型	衍生型式
设计期对象	設計時期物件
设计期的	僅限設計時期
按需拨号	隨需撥號
数字	數字
直接连接	直接連接
目录清单对话框	目錄清單方塊
反汇编	反組譯器
免责声明	免責聲明
断开连接	中斷
光盘卷标	磁碟標籤
弥散的	分散式
分配界面	分配介面
发抖	遞色
入坞	停駐
域名后缀	網域字尾
主控	主控制
点颜色	圓點色彩
点运算	句點運算子
点形状	點狀
点大小	圓點大小
点变量	圓點變量
双击	快按兩次
双倍大小	兩倍大小
两倍行距	兩倍行間距
双精度	倍精度
降低密级  	降級
下游	下游 
驱动器磁盘	驅動程式磁片
驱动器名	磁碟機代號
置放目标	置放目標
双重界面	雙重介面
转储电影	輸出電影
动态邦定	動態繫結
动态数据交换	動態資料交換 
动态超文本标记语言	動態超文字標記語言
动态连接	動態連結
易用	簡易操作
易移除	易移模式
易更新	易用更新
编辑风格	撰寫風格
效果类型	效果種類
有效抵制	有效位址
经历时间	經過時間
椭圆工具	橢圓形工具
环绕类型	圍繞型式
文件结束	檔案結尾
最终用户	終端使用者
最终用户许可协议	EULA使用者授權合約
增强型元文件	增強型中繼檔案
排队	進入佇列
枚举属性	列舉性質
枚举类型	列舉型式
结束码	結尾碼
等运算	等式運算子
等连接	等聯結
擦除	抹除
错误处理器	錯誤處理常式
错误信息	錯誤訊息
错误代码	錯誤代號
转义字符	逸出字元
事件产生	事件冒出
事件处理器	事件處理常式
事件接口	事件介面
事件侦听器	事件收聽器
事件程序	事件程序
事件应答对象	事件回應物件
事件计划	事件方案
事件脚本程序	事件腳本程序
事件接受	事件接收
事件接受映射	事件接收對映
事件处理程序	事件處理程序
事件接受	事件接收
每隔行	跳線式
每隔像素	跳像素
标志项集	辨識項集
举例	範例
异常处置器	異常處理常式
异常规则	異常規格
互斥模式	互斥模式
免除	豁免
退出并返回	退出並轉回
退出帮助	退出求助
扩充内存	擴充記憶體
专家模式	專家模式
显式初始化	外顯初始設定式
显示接口成员执行	外顯介面成員實作
显示连接	外顯連結
显示参考	外顯參考
表达式求值	運算式評估器
表达式语句	運算陳述式
扩展内存	延伸記憶體
失效后资源备份	容錯移轉
快速载入区域	快速載入區域
特征树	特徵樹
字段定界符	欄定界符
字段类型	欄位型式
文件分配表	FAT 檔案分派表
文件截取	檔案擷取
文件计数	檔案個數
文件处理	檔案處置
文件列表	檔案表列
文件数	檔案樹
文件类型	檔案型式
文件名	檔案名稱
文件扩展名	副檔名
文件服务器应用	檔案伺服器應用
填充因素	填充因子
填充样式	填充式樣
填充类型	填充型式
电影片断	影片片段
最终化光盘	最終化光碟
在多个文件内查找	多重檔案尋找
在项目内查找	專案內尋找
查找内容	尋找目標
激发	引發
激发事件	引發事件
第一个记录	第一筆記錄
固定调色板	固定色盤
定长字符串	定長字串
平面合成图象	平面合成影像
浮动工具条	浮動圖示工具列
平面化层	平面化圖層
浮动工具条	浮動工具列
浮点类型	浮點資料型式
流控制	流量控制
文件夹跟踪器	資料夾追蹤器
字型文件	字型檔
字型映射	字型對映器
字型视图	字型檢視
强制帧大小	強制框大小
强制每秒帧数	強制每秒框數
情景窗口	前景視窗
外来图像	外來影像
外健	外來索引鍵
外健表	外來索引鍵表
表格线设定	表格格線設定
表格图像	表格影像
表格类型	表格型式
表格视图	表格檢視
形式参数	形式引數
形式参数列表	形式參數表列
格式化字符串	格式串
格式化工具条	格式化工具列
表格举出应用	表格基礎應用
正向声明	前置宣告
向前一帧	向前一框
仅向前	僅正向
基础类	基礎類別
四字节码	四字元碼
帧/秒	框每秒
逐帧播放	逐框播放
帧控制	框控制
帧抓取	框抓取器
帧页	框頁
帧速率	框速率
逐帧反转	逐框反轉
流帧大小	串流框大小
帧窗口	框視窗
帧遗漏	遺漏框數
帧错误	框錯誤
可用位	可用位元組
可用图形界面资源	可用圖形介面資源
可用图像位	可用影像位元組
无限线程	無限制線程
无限线程模型	無限制線程模型
可以用户资源	可用使用者資源
帧/秒	框每秒
全部控件	完全控制組件
完整连接	完全連結
完整外部连接	完整外部聯結
完整路径	完整路徑名稱
全屏模式	全螢幕模式
全特化	全特化
完整类名	完整類別名稱
函数体	函數主體
函数覆盖	函數涵蓋
函数列表	函數表列
函数对象	函數物件
函数重写	函數覆寫
函数描述	函數描繪
函数范围	函數範圍
函数集	函數集
函数层连接	函數層連結
函数过程范围	函數雛型範圍
基本类型	基本型式
计量长度	量計長度
通用算法	同屬演算法
类属类别设定	同屬類別設定
类属合成别号	同屬合成別號
类属创建程序	同屬建立者
获得区域	取回區
获得指针	取回指標
全局默认值	全域預設值
全局对象	全域物件
全局最佳化	全域最佳化
全局规则	全域規則
全局脚本	全域腳本
全局样式表	全域樣式表
全局变量	全域變數
字形高速缓存	字符快取
抓取句柄	抓取控點
抓取视频帧	抓取視訊框
抓取的帧	抓取框
图像用户界面	圖形使用者介面
图形外观	圖形外貌
图形设备接口	圖形裝置介面 
图形说明	圖形敘述
灰色检查值	變灰核對值
灰色选单项	變灰選單項目
灰阶调色板	灰階色盤
栅格布局	格線布局
组列表	群組表列
组重命名	群組重新命名
控件组	群組方塊控制
代码保护区域	程式碼保護區間
保护段落	保護區段
指南	指導綱要
导则	指導
指南	指引
硬件禁用	硬體失能
处理锁定冲突	處置鎖定衝突
联络	交握
悬挂式缩进	凸排
硬回车	硬轉回
硬件填充颜色	硬體填色
硬件透明	硬體透通
哈希算法	雜湊演算法
哈希多重集	雜湊多重集
哈希数	雜湊數
哈希表	雜湊表
散列值	雜湊值
标题控制	標頭控制
堆分配	堆積配置
帮助内容	求助內容
帮助映射文件	求助映射檔
帮助概要	求助概觀
帮助项目文件	求助專案檔
帮助查找程序	求助搜尋程式
帮助选择	求助選擇
帮助主题	求助主題
异类的	異質的
十六进制转储	十六進位傾印
隐藏下阴影	隱藏下落式陰影
高亮文本	醒目文字
高亮	醒目
高亮文件类型	醒目的檔案型式
嘶声降低	降低嘶聲
点击测试代码	點擊測試碼
全息图	全像
水平排列	水平並排
水平停住	水平停駐
主应用程序	主應用
主控	裝載控制
主控能力	裝載能力
主控信息	裝載資訊
主机名	主機名稱
热键	熱鍵
沙漏指针	沙漏游標
超链接基础地址	超連結基底
超链接文本	超文字連結
超文本置标语言	超文字標記語言
超文本参考	超文字參考
超文本传输协议	超文字傳輸通訊協定
标识符前缀	識別符前綴
标识符文本	識別符文字
识别增量	識別增量
识别分割	識別分割
识别种子	識別種子
空闲传感器	閒置感應器
图像文件	影像檔案
图像库	影像圖庫
图像列表	影像表列
图像记录	影像記錄器
图像序列	影像序列
图像大小	影像大小
图像编辑	影像編輯
直接变量	直接引數
执行	實作
执行界面	實作介面
执行定义	依實作定義
执行者	實作者
隐含连接	隱含連結
引入数据库模板	匯入資料庫模板
引入文件	匯入檔案
引入函数	匯入函數
增量备份	遞增備份
递增构建	遞增建置
递增连接	遞增連結
递增连接器	遞增連結器
递增搜索	遞增搜尋
独立软件供应商	獨立軟體廠商
索引顺序存取法	索引循序存取法
索引视图	索引檢視
索引子回传类型	索引子傳回型式
间接内存运算	間接記憶運算元
无限递归	無限遞迴
继承层次	繼承階層
 初始化表达式	初始器
嵌套	鑲套
行内组合码	行內組合程式碼
内部类别	內部類別
内阴影	內部陰影
内宽度	內部寬度
就地按钮	當地按鈕
处理中组件	處理中組件
处理中调试	處理中偵錯
输入位准	輸入位準
插入数字	插入數字
插入列	插入欄
填充列	填滿欄
嵌入浮雕	嵌入浮凸
嵌入路径	插入路徑
内部程序	內部程序
检查	檢驗
实例处理	實例處置
实例方法	實例方法
实例变量	實例變數
实例模型	實例模型
实例模版	實例樣板
例示	實例化
电气和电子工程师协会	電子電機工程師學會
指令安排	指令排程
整型	整數型式
综合服务数字网	整體服務數位網路
互联方案	互連方案
接口定义语言	介面定義語言
接口文件	介面檔案
接口ID	介面識別符
接口标识符	介面識別符
接口类型	介面型式
隔行	交錯
内连接	內部鏈結
互联网络控制报文协议	網際網路控制訊息通訊協定
互联网络工程任务小组	網際網路工程任務小組
互联网络包	網際網路封包
互联网络服务器应用编程接口	網際網路伺服器應用程式發展介面
互联网络服务器扩充	網際網路伺服器擴充
互联网络服务器过滤器	網際網路伺服器過濾器
因特网服务提供方	網際網路服務供應商
解释器	解譯器
固有常数	內建常數
固有控件	內建控制
固有函数	內建函數
无效文件名	無效檔名
不变表达式	不變量運算式
隔离存储区	隔離儲存區
问题详细表	議題詳細表
问题列表	議題表列
项目目录	項目目錄
项目扩展	項目延伸
项目路径	項目路徑
迭代	迭代器
堵塞循环	堵塞迴圈
连接条件	聯結條件
连接运算符	聯結運算子
操纵杆	搖桿
跳转到	跳到
连接资料表	聯結資料表
紧排	疊排
密钥对	金鑰對
密钥设定	金鑰設定
密钥验证	金鑰驗證
